GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_903977885.1	26170348	N/A	N/A	
GCA_903974525.1	22973708	N/A	N/A	
GCA_903974545.1	22973888	N/A	N/A	
GCA_903974555.1	22973978	N/A	N/A	
GCA_903974565.1	22974158	N/A	N/A	
GCA_903974535.1	22973798	N/A	N/A	
GCA_903974685.1	22975958	N/A	N/A	
GCA_903995625.1	22990678	N/A	N/A	
GCA_903974715.1	22976418	N/A	N/A	
GCA_903974605.1	22974598	N/A	N/A	
GCA_903974625.1	22975078	N/A	N/A	
GCA_903974615.1	22974928	N/A	N/A	
GCA_903974575.1	22974338	N/A	N/A	
GCA_903974635.1	22975228	N/A	N/A	
GCA_903974585.1	22974458	N/A	N/A	
GCA_903974645.1	22975378	N/A	N/A	
GCA_903974595.1	22974718	N/A	N/A	
GCA_903974675.1	22975878	N/A	N/A	
GCA_903974655.1	22975578	N/A	N/A	
GCA_903974665.1	22975738	N/A	N/A	
GCA_903974725.1	22976538	N/A	N/A	
GCA_903974885.1	22978428	N/A	N/A	
GCA_903974735.1	22976578	N/A	N/A	
GCA_903974905.1	22978538	N/A	N/A	
GCA_903974765.1	22976958	N/A	N/A	
GCA_903974895.1	22978478	N/A	N/A	
GCA_903974695.1	22976098	N/A	N/A	
GCA_903974705.1	22976238	N/A	N/A	
GCA_903974755.1	22976728	N/A	N/A	
GCA_903974745.1	22976838	N/A	N/A	
GCA_903974925.1	22978598	N/A	N/A	
GCA_903974915.1	22978578	N/A	N/A	
GCA_903974945.1	22978678	N/A	N/A	
GCA_903974935.1	22978638	N/A	N/A	
GCA_903974955.1	22978698	N/A	N/A	
GCA_903974965.1	22978758	N/A	N/A	
GCA_903974995.1	22979378	N/A	N/A	
GCA_903974985.1	22979078	N/A	N/A	
GCA_903975005.1	22979178	N/A	N/A	
GCA_903974975.1	22978898	N/A	N/A	
GCA_903975015.1	22979438	N/A	N/A	
GCA_903975035.1	22979498	N/A	N/A	
GCA_903975025.1	22979478	N/A	N/A	
GCA_903975045.1	22979538	N/A	N/A	
GCA_903974775.1	22977118	N/A	N/A	
GCA_903975055.1	22979558	N/A	N/A	
GCA_903975065.1	22979598	N/A	N/A	
GCA_903975075.1	22979618	N/A	N/A	
GCA_903975085.1	22979658	N/A	N/A	
GCA_903975095.1	22979678	N/A	N/A	
GCA_903974875.1	22978278	N/A	N/A	
GCA_903974825.1	22977628	N/A	N/A	
GCA_903975115.1	22979718	N/A	N/A	
GCA_903974805.1	22977398	N/A	N/A	
GCA_903974855.1	22978018	N/A	N/A	
GCA_903974865.1	22978138	N/A	N/A	
GCA_903975105.1	22979738	N/A	N/A	
GCA_903975125.1	22979778	N/A	N/A	
GCA_903974835.1	22977778	N/A	N/A	
GCA_903974845.1	22977878	N/A	N/A	
GCA_903974815.1	22977578	N/A	N/A	
GCA_903975145.1	22979798	N/A	N/A	
GCA_903974795.1	22977528	N/A	N/A	
GCA_903974785.1	22977238	N/A	N/A	
GCA_903975135.1	22979838	N/A	N/A	
GCA_903975155.1	22979858	N/A	N/A	
GCA_903975175.1	22979898	N/A	N/A	
GCA_903975165.1	22979918	N/A	N/A	
GCA_903975185.1	22979938	N/A	N/A	
GCA_903975195.1	22979978	N/A	N/A	
GCA_903975225.1	22980058	N/A	N/A	
GCA_903975215.1	22980038	N/A	N/A	
GCA_903975205.1	22980018	N/A	N/A	
GCA_903975245.1	22980098	N/A	N/A	
GCA_903975235.1	22980118	N/A	N/A	
GCA_903975255.1	22980158	N/A	N/A	
GCA_903975265.1	22980178	N/A	N/A	
GCA_903975295.1	22980258	N/A	N/A	
GCA_903975275.1	22980218	N/A	N/A	
GCA_903975285.1	22980238	N/A	N/A	
GCA_903975305.1	22980298	N/A	N/A	
GCA_903975315.1	22980318	N/A	N/A	
GCA_903975325.1	22980358	N/A	N/A	
GCA_903975335.1	22980378	N/A	N/A	
GCA_903975355.1	22980418	N/A	N/A	
GCA_903975345.1	22980398	N/A	N/A	
GCA_903975365.1	22980438	N/A	N/A	
GCA_903975375.1	22980458	N/A	N/A	
GCA_903975385.1	22980478	N/A	N/A	
GCA_903975395.1	22980498	N/A	N/A	
GCA_903975435.1	22980618	N/A	N/A	
GCA_903975405.1	22980558	N/A	N/A	
GCA_903975445.1	22980638	N/A	N/A	
GCA_903975425.1	22980578	N/A	N/A	
GCA_903975415.1	22980518	N/A	N/A	
GCA_903975455.1	22980658	N/A	N/A	
GCA_903975475.1	22980698	N/A	N/A	
GCA_903975495.1	22980758	N/A	N/A	
GCA_903975485.1	22980718	N/A	N/A	
GCA_903975465.1	22980678	N/A	N/A	
GCA_903975525.1	22980798	N/A	N/A	
GCA_903975505.1	22980738	N/A	N/A	
GCA_903975515.1	22980778	N/A	N/A	
GCA_903975535.1	22980818	N/A	N/A	
GCA_903975545.1	22980838	N/A	N/A	
GCA_903975555.1	22980858	N/A	N/A	
GCA_903975565.1	22980878	N/A	N/A	
GCA_903975575.1	22980898	N/A	N/A	
GCA_903975585.1	22980918	N/A	N/A	
GCA_903975595.1	22980938	N/A	N/A	
GCA_903975605.1	22980958	N/A	N/A	
GCA_903975615.1	22980978	N/A	N/A	
GCA_903975635.1	22981118	N/A	N/A	
GCA_903975625.1	22980998	N/A	N/A	
GCA_903975645.1	22981218	N/A	N/A	
GCA_903975695.1	22981738	N/A	N/A	
GCA_903975685.1	22981718	N/A	N/A	
GCA_903975665.1	22981538	N/A	N/A	
GCA_903975675.1	22981458	N/A	N/A	
GCA_903975655.1	22981328	N/A	N/A	
GCA_903975705.1	22981688	N/A	N/A	
GCA_903975715.1	22981758	N/A	N/A	
GCA_903975735.1	22981778	N/A	N/A	
GCA_903975725.1	22981798	N/A	N/A	
GCA_903975745.1	22981818	N/A	N/A	
GCA_903975805.1	22982198	N/A	N/A	
GCA_903975775.1	22981878	N/A	N/A	
